protocol,method,method_type,modality,runs_or_unit,accuracy,weighted_f1,macro_f1,balanced_or_parent,role_caveat,source_artifact
PBMC strict L3 historical baseline matrix,scmap,Published/completed baseline,RNA-only,1 run(s),0.5482,0.5932,0.3698,--,Full strict PBMC L3 5k/5k/5k-style reference projection baseline; weak but protocol-comparable classic method.,output/tables/mosaic_n_v18_fair_sota_baseline_matrix_2026-05-25.csv
PBMC strict L3 historical baseline matrix,scPred,Published/completed baseline,RNA-only,1 run(s),0.4471,0.3787,0.4199,--,"Large 57/58 eligible-class subset, single seed; weak fine-label performance and not full strict 100k.",output/tables/mosaic_n_v18_fair_sota_baseline_matrix_2026-05-25.csv
PBMC strict L3 historical baseline matrix,scPoli,Published/completed baseline,RNA reference mapping,1 run(s),0.3899,0.4112,0.2249,--,"Full strict PBMC L3 RNA-only scPoli run, single seed; current reproduction is weak and should be caveated.",output/tables/mosaic_n_v18_fair_sota_baseline_matrix_2026-05-25.csv
COMBAT/COVID disease-shift parent-safe,MOSAIC DCRG,Proposed,RNA+ADT reliability-gated,3 external subsets,0.9651 $\pm$ 0.0075,0.9732,0.7822,0.9651 $\pm$ 0.0075,Parent-safe COMBAT/COVID external disease-shift benchmark; not PBMC strict L3 fine-label SOTA; DCRG preserves RNA-safe parent accuracy while using ADT on a subset.,output/tables/mosaic_n_v20_combat_parent_safe_sota_matrix_2026-05-25.csv
COMBAT/COVID disease-shift parent-safe,CellTypist,Published baseline,RNA-only,3 external subsets,0.9314 $\pm$ 0.0147,0.9360,0.7528,0.9314 $\pm$ 0.0147,"Published RNA-only baseline under matched parent-safe protocol, three 10k external subsets.",output/tables/mosaic_n_v20_combat_parent_safe_sota_matrix_2026-05-25.csv
COMBAT/COVID disease-shift parent-safe,RNA logistic,Classic baseline,RNA-only,3 external subsets,0.9295 $\pm$ 0.0178,0.9451,0.7597,0.9295 $\pm$ 0.0178,"Classic engineering RNA-only baseline; useful for parent-safe disease-shift comparison, not a published single-cell method.",output/tables/mosaic_n_v20_combat_parent_safe_sota_matrix_2026-05-25.csv
COMBAT/COVID disease-shift parent-safe,ADT logistic,Classic baseline,ADT-only,3 external subsets,0.9079 $\pm$ 0.0322,0.9107,0.7054,0.9079 $\pm$ 0.0322,Classic engineering ADT-only baseline; diagnostic for protein panel contribution.,output/tables/mosaic_n_v20_combat_parent_safe_sota_matrix_2026-05-25.csv
COMBAT/COVID disease-shift parent-safe,Early-fusion logistic,Classic baseline,RNA+ADT early fusion,3 external subsets,0.9010 $\pm$ 0.0154,0.9092,0.7353,0.9010 $\pm$ 0.0154,Classic engineering RNA+ADT early-fusion baseline; diagnostic multimodal baseline.,output/tables/mosaic_n_v20_combat_parent_safe_sota_matrix_2026-05-25.csv
PDC101 sorted external holdout,MOSAIC,Proposed,RNA+ADT,seed Student-t,0.9077 $\pm$ 0.0180,0.9068 $\pm$ 0.0187,0.9007 $\pm$ 0.0209,--,train-only preprocessing; no HTO/control; three model seeds,results/tables/mosaic_n_v33_pdc101_mmochi_comparison_2026-07-23.csv
PDC101 sorted external holdout,MMoCHi,Published hierarchy baseline,RNA+ADT,cell bootstrap; conditional on one workflow,0.9347 $\pm$ 0.0110,0.9335 $\pm$ 0.0114,0.9298 $\pm$ 0.0118,--,official hierarchy; external_holdout=True; one workflow fit,results/tables/mosaic_n_v33_pdc101_mmochi_comparison_2026-07-23.csv
