test_donor,seed,scenario,protein,mask_seed,mask_source,n_masked_proteins
P1,41,random_50,CD85g,331415,legacy_v33_deterministic_feature_mask,112
P1,41,random_50,CD243,331415,legacy_v33_deterministic_feature_mask,112
P1,41,random_50,MERTK,331415,legacy_v33_deterministic_feature_mask,112
P1,41,random_50,TIM-4,331415,legacy_v33_deterministic_feature_mask,112
P1,41,random_50,CD325,331415,legacy_v33_deterministic_feature_mask,112
P1,41,random_50,CD200,331415,legacy_v33_deterministic_feature_mask,112
P1,41,random_50,CD338,331415,legacy_v33_deterministic_feature_mask,112
P1,41,random_50,CD235a,331415,legacy_v33_deterministic_feature_mask,112
P1,41,random_50,CD49a,331415,legacy_v33_deterministic_feature_mask,112
P1,41,random_50,CD73,331415,legacy_v33_deterministic_feature_mask,112
P1,41,random_50,CD79a,331415,legacy_v33_deterministic_feature_mask,112
P1,41,random_50,CD9,331415,legacy_v33_deterministic_feature_mask,112
P1,41,random_50,TCR-V-7.2,331415,legacy_v33_deterministic_feature_mask,112
P1,41,random_50,TCR-V-24-J-18,331415,legacy_v33_deterministic_feature_mask,112
P1,41,random_50,CD133-2,331415,legacy_v33_deterministic_feature_mask,112
P1,41,random_50,CD209,331415,legacy_v33_deterministic_feature_mask,112
P1,41,random_50,CD110,331415,legacy_v33_deterministic_feature_mask,112
P1,41,random_50,CD186,331415,legacy_v33_deterministic_feature_mask,112
P1,41,random_50,CD109,331415,legacy_v33_deterministic_feature_mask,112
P1,41,random_50,CD126,331415,legacy_v33_deterministic_feature_mask,112
P1,41,random_50,CD307c/FcRL3,331415,legacy_v33_deterministic_feature_mask,112
P1,41,random_50,CD319,331415,legacy_v33_deterministic_feature_mask,112
P1,41,random_50,CLEC12A,331415,legacy_v33_deterministic_feature_mask,112
P1,41,random_50,CD16,331415,legacy_v33_deterministic_feature_mask,112
P1,41,random_50,CD161,331415,legacy_v33_deterministic_feature_mask,112
P1,41,random_50,CD45RB,331415,legacy_v33_deterministic_feature_mask,112
P1,41,random_50,CD46,331415,legacy_v33_deterministic_feature_mask,112
P1,41,random_50,CLEC2,331415,legacy_v33_deterministic_feature_mask,112
P1,41,random_50,CD26-2,331415,legacy_v33_deterministic_feature_mask,112
P1,41,random_70,CD80,331417,legacy_v33_deterministic_feature_mask,157
P1,41,random_70,CD86,331417,legacy_v33_deterministic_feature_mask,157
P1,41,random_70,CD274,331417,legacy_v33_deterministic_feature_mask,157
P1,41,random_70,CD273,331417,legacy_v33_deterministic_feature_mask,157
P1,41,random_70,CD275-1,331417,legacy_v33_deterministic_feature_mask,157
P1,41,random_70,Galectin-9,331417,legacy_v33_deterministic_feature_mask,157
P1,41,random_70,CD270,331417,legacy_v33_deterministic_feature_mask,157
P1,41,random_70,CD252,331417,legacy_v33_deterministic_feature_mask,157
P1,41,random_70,CD155,331417,legacy_v33_deterministic_feature_mask,157
P1,41,random_70,CD112,331417,legacy_v33_deterministic_feature_mask,157
P1,41,random_70,CD47,331417,legacy_v33_deterministic_feature_mask,157
P1,41,random_70,CD30,331417,legacy_v33_deterministic_feature_mask,157
P1,41,random_70,CD154,331417,legacy_v33_deterministic_feature_mask,157
P1,41,random_70,CD52,331417,legacy_v33_deterministic_feature_mask,157
P1,41,random_70,CD3-1,331417,legacy_v33_deterministic_feature_mask,157
P1,41,random_70,CD8,331417,legacy_v33_deterministic_feature_mask,157
P1,41,random_70,CD45-1,331417,legacy_v33_deterministic_feature_mask,157
P1,41,random_70,CD19,331417,legacy_v33_deterministic_feature_mask,157
P1,41,random_70,CD11c,331417,legacy_v33_deterministic_feature_mask,157
P1,41,random_70,CD34,331417,legacy_v33_deterministic_feature_mask,157
P1,41,random_70,CD269,331417,legacy_v33_deterministic_feature_mask,157
P1,41,random_70,CD90,331417,legacy_v33_deterministic_feature_mask,157
P1,41,random_70,CD117,331417,legacy_v33_deterministic_feature_mask,157
P1,41,random_70,CD45RA,331417,legacy_v33_deterministic_feature_mask,157
P1,41,random_70,CD123,331417,legacy_v33_deterministic_feature_mask,157
P1,41,random_70,CD105,331417,legacy_v33_deterministic_feature_mask,157
P1,41,random_70,CD194,331417,legacy_v33_deterministic_feature_mask,157
P1,41,random_70,CD4-2,331417,legacy_v33_deterministic_feature_mask,157
P1,41,random_70,CD44-1,331417,legacy_v33_deterministic_feature_mask,157
P1,41,random_70,CD8a,331417,legacy_v33_deterministic_feature_mask,157
P1,41,random_70,CD45RO,331417,legacy_v33_deterministic_feature_mask,157
P1,41,random_70,CD279,331417,legacy_v33_deterministic_feature_mask,157
P1,41,random_70,TIGIT,331417,legacy_v33_deterministic_feature_mask,157
P1,41,random_70,Rat-IgG2b,331417,legacy_v33_deterministic_feature_mask,157
P1,41,random_70,CD335,331417,legacy_v33_deterministic_feature_mask,157
P1,41,random_70,CD294,331417,legacy_v33_deterministic_feature_mask,157
P1,41,random_70,CD31,331417,legacy_v33_deterministic_feature_mask,157
P1,41,random_70,CD44-2,331417,legacy_v33_deterministic_feature_mask,157
P1,41,random_70,CD133-1,331417,legacy_v33_deterministic_feature_mask,157
P1,41,random_70,Podoplanin,331417,legacy_v33_deterministic_feature_mask,157
P1,41,random_70,CD140b,331417,legacy_v33_deterministic_feature_mask,157
P1,41,random_70,CD340,331417,legacy_v33_deterministic_feature_mask,157
P1,41,random_70,CD324,331417,legacy_v33_deterministic_feature_mask,157
P1,41,random_70,IgM,331417,legacy_v33_deterministic_feature_mask,157
P1,41,random_70,TCR-1,331417,legacy_v33_deterministic_feature_mask,157
P1,41,random_70,CD195,331417,legacy_v33_deterministic_feature_mask,157
P1,41,random_70,CD196,331417,legacy_v33_deterministic_feature_mask,157
P1,41,random_70,CD185,331417,legacy_v33_deterministic_feature_mask,157
P1,41,random_70,CD69,331417,legacy_v33_deterministic_feature_mask,157
P1,41,random_70,CD223,331417,legacy_v33_deterministic_feature_mask,157
P1,41,random_70,CD107a,331417,legacy_v33_deterministic_feature_mask,157
P1,41,random_70,CD95,331417,legacy_v33_deterministic_feature_mask,157
P1,41,random_70,CD134,331417,legacy_v33_deterministic_feature_mask,157
P1,41,random_70,HLA-DR,331417,legacy_v33_deterministic_feature_mask,157
P1,41,random_70,CD64,331417,legacy_v33_deterministic_feature_mask,157
P1,41,random_70,CD141,331417,legacy_v33_deterministic_feature_mask,157
P1,41,random_70,CD314,331417,legacy_v33_deterministic_feature_mask,157
P1,41,random_70,CD66b,331417,legacy_v33_deterministic_feature_mask,157
P1,41,random_70,CD57,331417,legacy_v33_deterministic_feature_mask,157
P1,41,random_70,CD278,331417,legacy_v33_deterministic_feature_mask,157
P1,41,random_70,CD96,331417,legacy_v33_deterministic_feature_mask,157
P1,41,random_70,CD39,331417,legacy_v33_deterministic_feature_mask,157
P1,41,random_70,CD178,331417,legacy_v33_deterministic_feature_mask,157
P1,41,random_70,CX3CR1,331417,legacy_v33_deterministic_feature_mask,157
P1,41,random_70,CD24,331417,legacy_v33_deterministic_feature_mask,157
P1,41,random_70,CD21,331417,legacy_v33_deterministic_feature_mask,157
P1,41,random_70,CD79b,331417,legacy_v33_deterministic_feature_mask,157
P1,41,random_70,CD66a/c/e,331417,legacy_v33_deterministic_feature_mask,157
P1,41,random_70,CD244,331417,legacy_v33_deterministic_feature_mask,157
P1,41,random_70,CD235ab,331417,legacy_v33_deterministic_feature_mask,157
P1,41,random_70,CD206,331417,legacy_v33_deterministic_feature_mask,157
P1,41,random_70,CD169,331417,legacy_v33_deterministic_feature_mask,157
P1,41,random_70,CD370,331417,legacy_v33_deterministic_feature_mask,157
P1,41,random_70,Notch-1,331417,legacy_v33_deterministic_feature_mask,157
P1,41,random_70,Integrin-7,331417,legacy_v33_deterministic_feature_mask,157
P1,41,random_70,CD42b,331417,legacy_v33_deterministic_feature_mask,157
P1,41,random_70,CD54,331417,legacy_v33_deterministic_feature_mask,157
P1,41,random_70,CD62P,331417,legacy_v33_deterministic_feature_mask,157
P1,41,random_70,TCR-2,331417,legacy_v33_deterministic_feature_mask,157
P1,41,random_70,Notch-2,331417,legacy_v33_deterministic_feature_mask,157
P1,41,random_70,CD68,331417,legacy_v33_deterministic_feature_mask,157
P1,41,random_70,Rat-IgG1-2,331417,legacy_v33_deterministic_feature_mask,157
P1,41,random_70,Rag-IgG2c,331417,legacy_v33_deterministic_feature_mask,157
P1,41,random_70,CD102,331417,legacy_v33_deterministic_feature_mask,157
P1,41,random_70,CD106,331417,legacy_v33_deterministic_feature_mask,157
P1,41,random_70,CD122,331417,legacy_v33_deterministic_feature_mask,157
P1,41,random_70,CD267,331417,legacy_v33_deterministic_feature_mask,157
P1,41,random_70,CD135,331417,legacy_v33_deterministic_feature_mask,157
P1,41,random_70,CD41,331417,legacy_v33_deterministic_feature_mask,157
P1,41,random_70,CD137,331417,legacy_v33_deterministic_feature_mask,157
P1,41,random_70,CD43,331417,legacy_v33_deterministic_feature_mask,157
P1,41,random_70,CD357,331417,legacy_v33_deterministic_feature_mask,157
P1,41,random_70,CD59,331417,legacy_v33_deterministic_feature_mask,157
P1,41,random_70,CD309,331417,legacy_v33_deterministic_feature_mask,157
P1,41,random_70,CD124,331417,legacy_v33_deterministic_feature_mask,157
P1,41,random_70,CD13,331417,legacy_v33_deterministic_feature_mask,157
P1,41,random_70,CD184,331417,legacy_v33_deterministic_feature_mask,157
P1,41,random_70,CD29,331417,legacy_v33_deterministic_feature_mask,157
P1,41,random_70,CD61,331417,legacy_v33_deterministic_feature_mask,157
P1,41,random_70,CD81,331417,legacy_v33_deterministic_feature_mask,157
P1,41,random_70,CD98,331417,legacy_v33_deterministic_feature_mask,157
P1,41,random_70,IgD,331417,legacy_v33_deterministic_feature_mask,157
P1,41,random_70,CD18,331417,legacy_v33_deterministic_feature_mask,157
P1,41,random_70,CD28,331417,legacy_v33_deterministic_feature_mask,157
P1,41,random_70,TSLPR,331417,legacy_v33_deterministic_feature_mask,157
P1,41,random_70,CD15,331417,legacy_v33_deterministic_feature_mask,157
P1,41,random_70,CD22,331417,legacy_v33_deterministic_feature_mask,157
P1,41,random_70,CD71,331417,legacy_v33_deterministic_feature_mask,157
P1,41,random_70,B7-H4,331417,legacy_v33_deterministic_feature_mask,157
P1,41,random_70,CD26-1,331417,legacy_v33_deterministic_feature_mask,157
P1,41,random_70,CD193,331417,legacy_v33_deterministic_feature_mask,157
P1,41,random_70,CD115,331417,legacy_v33_deterministic_feature_mask,157
P1,41,random_70,CD204,331417,legacy_v33_deterministic_feature_mask,157
P1,41,random_70,CD207,331417,legacy_v33_deterministic_feature_mask,157
P1,41,random_70,CD63,331417,legacy_v33_deterministic_feature_mask,157
P1,41,random_70,CD284,331417,legacy_v33_deterministic_feature_mask,157
P1,41,random_70,CD304,331417,legacy_v33_deterministic_feature_mask,157
P1,41,random_70,CD36,331417,legacy_v33_deterministic_feature_mask,157
P1,41,random_70,CD172a,331417,legacy_v33_deterministic_feature_mask,157
P1,41,random_70,CD72,331417,legacy_v33_deterministic_feature_mask,157
P1,41,random_70,Folate,331417,legacy_v33_deterministic_feature_mask,157
P1,41,random_70,TIM-4,331417,legacy_v33_deterministic_feature_mask,157
P1,41,random_70,CD325,331417,legacy_v33_deterministic_feature_mask,157
P1,41,random_70,CD93,331417,legacy_v33_deterministic_feature_mask,157
P1,41,random_70,CD200,331417,legacy_v33_deterministic_feature_mask,157
P1,41,random_70,C5L2,331417,legacy_v33_deterministic_feature_mask,157
P1,41,random_70,CD235a,331417,legacy_v33_deterministic_feature_mask,157
P1,41,random_70,CD49a,331417,legacy_v33_deterministic_feature_mask,157
P1,41,random_70,CD73,331417,legacy_v33_deterministic_feature_mask,157
P1,41,random_70,CD79a,331417,legacy_v33_deterministic_feature_mask,157
P1,41,random_70,CD9,331417,legacy_v33_deterministic_feature_mask,157
P1,41,random_70,TCR-V-7.2,331417,legacy_v33_deterministic_feature_mask,157
P1,41,random_70,TCR-V-2,331417,legacy_v33_deterministic_feature_mask,157
P1,41,random_70,TCR-V-24-J-18,331417,legacy_v33_deterministic_feature_mask,157
P1,41,random_70,CD354,331417,legacy_v33_deterministic_feature_mask,157
P1,41,random_70,CD305,331417,legacy_v33_deterministic_feature_mask,157
P1,41,random_70,LOX-1,331417,legacy_v33_deterministic_feature_mask,157
P1,41,random_70,CD203c,331417,legacy_v33_deterministic_feature_mask,157
P1,41,random_70,CD209,331417,legacy_v33_deterministic_feature_mask,157
P1,41,random_70,CD337,331417,legacy_v33_deterministic_feature_mask,157
P1,41,random_70,CD253,331417,legacy_v33_deterministic_feature_mask,157
P1,41,random_70,CD186,331417,legacy_v33_deterministic_feature_mask,157
P1,41,random_70,CD226,331417,legacy_v33_deterministic_feature_mask,157
P1,41,random_70,CD205,331417,legacy_v33_deterministic_feature_mask,157
P1,41,random_70,CD307c/FcRL3,331417,legacy_v33_deterministic_feature_mask,157
P1,41,random_70,CD307d,331417,legacy_v33_deterministic_feature_mask,157
P1,41,random_70,CD307e,331417,legacy_v33_deterministic_feature_mask,157
P1,41,random_70,CD319,331417,legacy_v33_deterministic_feature_mask,157
P1,41,random_70,CD138-2,331417,legacy_v33_deterministic_feature_mask,157
P1,41,random_70,CLEC12A,331417,legacy_v33_deterministic_feature_mask,157
P1,41,random_70,CCR10,331417,legacy_v33_deterministic_feature_mask,157
P1,41,random_70,CD271,331417,legacy_v33_deterministic_feature_mask,157
P1,41,random_70,CD199,331417,legacy_v33_deterministic_feature_mask,157
P1,41,random_70,CD45RB,331417,legacy_v33_deterministic_feature_mask,157
P1,41,random_70,VEGFR-3,331417,legacy_v33_deterministic_feature_mask,157
P1,41,random_70,CLEC2,331417,legacy_v33_deterministic_feature_mask,157
P1,41,random_70,CD26-2,331417,legacy_v33_deterministic_feature_mask,157
P1,41,marker_memory,CD45RA,,legacy_v33_deterministic_feature_mask,6
P1,41,marker_memory,CD45RO,,legacy_v33_deterministic_feature_mask,6
P1,41,marker_memory,CD27,,legacy_v33_deterministic_feature_mask,6
P1,41,marker_memory,CD95,,legacy_v33_deterministic_feature_mask,6
P1,41,marker_memory,CD28,,legacy_v33_deterministic_feature_mask,6
P1,41,marker_memory,CD127,,legacy_v33_deterministic_feature_mask,6
P1,41,marker_tcell,CD3-1,,legacy_v33_deterministic_feature_mask,15
P1,41,marker_tcell,CD4-1,,legacy_v33_deterministic_feature_mask,15
P1,41,marker_tcell,CD8,,legacy_v33_deterministic_feature_mask,15
P1,41,marker_tcell,CD3-2,,legacy_v33_deterministic_feature_mask,15
P1,41,marker_tcell,CD45RA,,legacy_v33_deterministic_feature_mask,15
P1,41,marker_tcell,CD4-2,,legacy_v33_deterministic_feature_mask,15
P1,41,marker_tcell,CD8a,,legacy_v33_deterministic_feature_mask,15
P1,41,marker_tcell,CD45RO,,legacy_v33_deterministic_feature_mask,15
P1,41,marker_tcell,TCR-1,,legacy_v33_deterministic_feature_mask,15
P1,41,marker_tcell,CD27,,legacy_v33_deterministic_feature_mask,15
P1,41,marker_tcell,TCR-2,,legacy_v33_deterministic_feature_mask,15
P1,41,marker_tcell,TCR-V-7.2,,legacy_v33_deterministic_feature_mask,15
