test_donor,seed,scenario,n_masked_proteins,mask_seed,mask_source,masked_proteins
P1,42,rna_only,224,,legacy_v33_deterministic_feature_mask,CD80|CD86|CD274|CD273|CD275-1|CD11b-1|Galectin-9|CD270|CD252|CD155|CD112|CD47|CD70|CD30|CD48|CD40|CD154|CD52|CD3-1|CD4-1|CD8|CD56-1|CD45-1|CD3-2|CD19|CD11c|CD34|CD138-1|CD269|CD90|CD117|CD45RA|CD123|CD105|CD201|CD194|CD4-2|CD44-1|CD8a|CD14|CD56-2|CD25|CD45RO|CD279|TIGIT|Rat-IgG2b|CD20|CD335|CD294|CD31|CD44-2|CD133-1|Podoplanin|CD140a|CD140b|Cadherin|CD340|CD146|CD324|IgM|TCR-1|CD195|CD196|CD185|CD103|CD69|CD152|CD223|CD27|CD107a|CD95|CD134|HLA-DR|CD1c|CD11b-2|CD64|CD141|CD1d|CD314|CD66b|CD35|CD57|CD366|CD272|CD278|CD275-2|CD96|CD39|CD178|CX3CR1|CD24|CD21|CD79b|CD66a/c/e|CD244|CD235ab|Siglec-8|CD206|CD169|CD370|XCR1|Notch-1|Integrin-7|CD268|CD42b|CD54|CD62P|CD119|TCR-2|Notch-2|CD68|Rat-IgG1-1|Rat-IgG1-2|Rag-IgG2c|CD192|CD102|CD106|CD122|CD267|CD62E|CD135|CD41|CD137|CD43|CD163|CD83|CD357|CD59|CD309|CD124|CD13|CD184|CD2|CD29|CD303|CD49b|CD61|CD81|CD98|CD177|CD55|IgD|CD18|CD28|TSLPR|CD38-1|CD127|CD45-2|CD15|CD22|CD71|B7-H4|CD26-1|CD193|CD115|CD204|CD144|CD301|CD1a|CD207|CD63|CD284|CD304|CD36|CD172a|CD85g|CD38-2|CD243|CD72|MERTK|Folate|TIM-4|CD171|CD325|CD93|CD200|CD338|C5L2|CD235a|CD49a|CD49d|CD73|CD79a|CD9|TCR-V-7.2|TCR-V-2|TCR-V-9|TCR-V-24-J-18|CD354|CD202b|CD305|LOX-1|CD203c|CD133-2|CD209|CD110|CD337|CD253|CD186|CD226|CD205|CD109|CD11a/CD18|CD126|CD164|CD142|CD307c/FcRL3|CD307d|CD307e|CD319|CD138-2|CD99|CLEC12A|CD16|CD161|CCR10|CD271|GP130|CD199|CD45RB|CD46|VEGFR-3|CLEC2|CD26-2
P1,42,random_size_matched_6,6,821421,random_feature_name_only_size_matched_to_targeted_mask,CD45RO|CD66b|CD1a|CD200|CD305|CD307e
P1,42,random_size_matched_15,15,821422,random_feature_name_only_size_matched_to_targeted_mask,CD80|CD273|CD270|CD269|CD146|CD27|HLA-DR|CD268|CD102|CD144|CD36|CD38-2|CD99|CD16|CD199
P1,43,full,0,,legacy_v33_deterministic_feature_mask,
P1,43,random_10,22,331431,legacy_v33_deterministic_feature_mask,CD274|CD11c|CD105|CD201|CD185|CD24|Integrin-7|CD137|CD43|CD163|CD13|CD45-2|CD71|CD1a|CD207|CD172a|CD243|Folate|CD171|CD9|LOX-1|CD142
P1,43,random_30,67,331433,legacy_v33_deterministic_feature_mask,CD270|CD47|CD70|CD40|CD154|CD52|CD45-1|CD3-2|CD11c|CD117|CD45RA|CD201|CD4-2|CD8a|CD14|CD56-2|CD31|CD340|CD324|CD195|CD152|CD27|CD134|HLA-DR|CD64|CD66b|CD57|CD96|CX3CR1|CD24|CD21|Siglec-8|CD169|Notch-1|CD268|Notch-2|CD68|CD122|CD135|CD137|CD43|CD163|CD13|CD55|IgD|TSLPR|CD22|B7-H4|CD144|CD301|CD63|CD85g|CD93|CD305|CD203c|CD133-2|CD337|CD226|CD126|CD307c/FcRL3|CD319|CD138-2|CLEC12A|CD271|CD45RB|CD46|CLEC2
P1,43,random_50,112,331435,legacy_v33_deterministic_feature_mask,CD80|CD86|CD275-1|CD11b-1|Galectin-9|CD70|CD48|CD4-1|CD8|CD56-1|CD45-1|CD19|CD269|CD123|CD105|CD14|CD45RO|CD279|TIGIT|Rat-IgG2b|CD20|CD335|Podoplanin|CD140b|CD324|IgM|TCR-1|CD196|CD185|CD152|CD223|CD95|HLA-DR|CD1c|CD64|CD141|CD66b|CD35|CD57|CD272|CD275-2|CD96|CD244|CD235ab|Siglec-8|CD169|CD370|XCR1|Notch-1|Integrin-7|CD42b|CD54|CD119|TCR-2|Rag-IgG2c|CD102|CD106|CD122|CD267|CD62E|CD41|CD357|CD59|CD124|CD303|CD49b|CD81|CD98|CD18|CD45-2|CD15|CD22|CD26-1|CD115|CD144|CD301|CD207|CD304|CD38-2|CD243|CD72|TIM-4|CD171|CD93|CD200|CD338|C5L2|CD49a|CD73|CD79a|CD9|TCR-V-9|CD354|CD133-2|CD110|CD186|CD226|CD164|CD307c/FcRL3|CD307d|CD307e|CD99|CLEC12A|CD161|CCR10|CD271|GP130|CD45RB|CD46|VEGFR-3|CLEC2|CD26-2
P1,43,random_70,157,331437,legacy_v33_deterministic_feature_mask,CD80|CD86|CD274|CD270|CD252|CD155|CD112|CD47|CD70|CD40|CD154|CD3-1|CD4-1|CD8|CD3-2|CD19|CD34|CD138-1|CD269|CD123|CD105|CD194|CD4-2|CD44-1|CD8a|CD56-2|CD45RO|CD279|CD20|CD335|CD44-2|CD133-1|Podoplanin|CD140a|CD140b|IgM|TCR-1|CD195|CD185|CD103|CD69|CD152|CD223|CD27|CD107a|CD95|CD134|CD1c|CD11b-2|CD64|CD314|CD66b|CD57|CD272|CD278|CD275-2|CD96|CD39|CD178|CD21|CD79b|CD66a/c/e|CD244|CD235ab|CD206|CD169|Notch-1|Integrin-7|CD42b|CD54|TCR-2|CD68|Rat-IgG1-1|CD192|CD102|CD106|CD122|CD267|CD62E|CD137|CD43|CD163|CD83|CD357|CD309|CD124|CD13|CD184|CD2|CD29|CD303|CD49b|CD61|CD81|CD98|CD55|CD28|CD38-1|CD45-2|CD15|CD22|CD71|B7-H4|CD193|CD115|CD204|CD144|CD207|CD63|CD284|CD304|CD36|CD172a|CD85g|CD243|MERTK|Folate|TIM-4|CD171|CD325|CD93|CD200|CD338|CD235a|CD49a|CD49d|CD73|CD79a|TCR-V-2|TCR-V-9|TCR-V-24-J-18|CD202b|LOX-1|CD203c|CD133-2|CD209|CD110|CD337|CD253|CD226|CD205|CD109|CD11a/CD18|CD126|CD164|CD142|CD307d|CD307e|CD319|CD99|CD16|CD161|CD271|GP130|CD45RB|CLEC2|CD26-2
P1,43,marker_memory,6,,legacy_v33_deterministic_feature_mask,CD45RA|CD45RO|CD27|CD95|CD28|CD127
P1,43,marker_tcell,15,,legacy_v33_deterministic_feature_mask,CD3-1|CD4-1|CD8|CD3-2|CD45RA|CD4-2|CD8a|CD45RO|TCR-1|CD27|TCR-2|TCR-V-7.2|TCR-V-2|TCR-V-9|TCR-V-24-J-18
P1,43,rna_only,224,,legacy_v33_deterministic_feature_mask,CD80|CD86|CD274|CD273|CD275-1|CD11b-1|Galectin-9|CD270|CD252|CD155|CD112|CD47|CD70|CD30|CD48|CD40|CD154|CD52|CD3-1|CD4-1|CD8|CD56-1|CD45-1|CD3-2|CD19|CD11c|CD34|CD138-1|CD269|CD90|CD117|CD45RA|CD123|CD105|CD201|CD194|CD4-2|CD44-1|CD8a|CD14|CD56-2|CD25|CD45RO|CD279|TIGIT|Rat-IgG2b|CD20|CD335|CD294|CD31|CD44-2|CD133-1|Podoplanin|CD140a|CD140b|Cadherin|CD340|CD146|CD324|IgM|TCR-1|CD195|CD196|CD185|CD103|CD69|CD152|CD223|CD27|CD107a|CD95|CD134|HLA-DR|CD1c|CD11b-2|CD64|CD141|CD1d|CD314|CD66b|CD35|CD57|CD366|CD272|CD278|CD275-2|CD96|CD39|CD178|CX3CR1|CD24|CD21|CD79b|CD66a/c/e|CD244|CD235ab|Siglec-8|CD206|CD169|CD370|XCR1|Notch-1|Integrin-7|CD268|CD42b|CD54|CD62P|CD119|TCR-2|Notch-2|CD68|Rat-IgG1-1|Rat-IgG1-2|Rag-IgG2c|CD192|CD102|CD106|CD122|CD267|CD62E|CD135|CD41|CD137|CD43|CD163|CD83|CD357|CD59|CD309|CD124|CD13|CD184|CD2|CD29|CD303|CD49b|CD61|CD81|CD98|CD177|CD55|IgD|CD18|CD28|TSLPR|CD38-1|CD127|CD45-2|CD15|CD22|CD71|B7-H4|CD26-1|CD193|CD115|CD204|CD144|CD301|CD1a|CD207|CD63|CD284|CD304|CD36|CD172a|CD85g|CD38-2|CD243|CD72|MERTK|Folate|TIM-4|CD171|CD325|CD93|CD200|CD338|C5L2|CD235a|CD49a|CD49d|CD73|CD79a|CD9|TCR-V-7.2|TCR-V-2|TCR-V-9|TCR-V-24-J-18|CD354|CD202b|CD305|LOX-1|CD203c|CD133-2|CD209|CD110|CD337|CD253|CD186|CD226|CD205|CD109|CD11a/CD18|CD126|CD164|CD142|CD307c/FcRL3|CD307d|CD307e|CD319|CD138-2|CD99|CLEC12A|CD16|CD161|CCR10|CD271|GP130|CD199|CD45RB|CD46|VEGFR-3|CLEC2|CD26-2
P1,43,random_size_matched_6,6,821431,random_feature_name_only_size_matched_to_targeted_mask,CD48|HLA-DR|CD366|Rat-IgG1-2|CD73|CD307e
P1,43,random_size_matched_15,15,821432,random_feature_name_only_size_matched_to_targeted_mask,CD133-1|CD57|CD169|TCR-2|Notch-2|CD68|CD18|CD144|CD93|CD49d|CD79a|CD133-2|CD109|CD271|CD199
P2,41,full,0,,legacy_v33_deterministic_feature_mask,
P2,41,random_10,22,332411,legacy_v33_deterministic_feature_mask,CD47|CD70|CD4-1|CD44-1|CD335|CD133-1|Podoplanin|CD340|CD146|CD324|CD278|XCR1|CD357|CD309|TSLPR|B7-H4|CD207|CD172a|CD307c/FcRL3|CD99|CD16|GP130
P2,41,random_30,67,332413,legacy_v33_deterministic_feature_mask,CD274|CD11b-1|CD112|CD48|CD45-1|CD34|CD45RA|CD123|CD201|CD194|CD44-1|CD14|Rat-IgG2b|CD294|CD31|Podoplanin|CD140a|CD146|CD324|CD195|CD152|CD27|CD107a|CD1d|CD314|CD275-2|CD178|CD24|CD21|CD244|CD235ab|Siglec-8|CD206|Integrin-7|CD42b|Notch-2|Rat-IgG1-1|CD106|CD135|CD357|CD13|CD184|CD177|TSLPR|CD15|CD26-1|CD204|CD1a|CD284|CD36|CD38-2|CD243|MERTK|CD49a|CD49d|TCR-V-7.2|TCR-V-9|TCR-V-24-J-18|CD109|CD11a/CD18|CD126|CD142|CD307c/FcRL3|CLEC12A|CD16|CLEC2|CD26-2
P2,41,random_50,112,332415,legacy_v33_deterministic_feature_mask,CD80|CD86|CD274|CD273|Galectin-9|CD270|CD252|CD112|CD47|CD48|CD154|CD52|CD3-1|CD4-1|CD19|CD11c|CD269|CD45RA|CD201|CD194|CD4-2|CD14|CD56-2|CD25|TIGIT|Rat-IgG2b|CD20|CD31|CD44-2|CD133-1|Podoplanin|CD140a|CD140b|CD340|CD146|CD324|TCR-1|CD195|CD185|CD69|CD152|CD107a|CD134|HLA-DR|CD1c|CD141|CD66b|CD278|CD275-2|CD178|CD66a/c/e|CD244|CD235ab|Integrin-7|CD268|CD54|Notch-2|CD68|Rat-IgG1-1|Rat-IgG1-2|CD102|CD122|CD163|CD59|CD124|CD184|CD303|CD49b|CD61|CD81|CD28|TSLPR|CD38-1|CD15|CD22|B7-H4|CD26-1|CD193|CD63|CD304|CD38-2|CD243|TIM-4|CD171|CD338|C5L2|CD235a|TCR-V-7.2|TCR-V-2|TCR-V-9|CD354|CD202b|CD305|LOX-1|CD110|CD337|CD253|CD186|CD226|CD109|CD11a/CD18|CD164|CD142|CD307c/FcRL3|CD319|CD138-2|CD99|CLEC12A|CD16|CCR10|VEGFR-3|CD26-2
P2,41,random_70,157,332417,legacy_v33_deterministic_feature_mask,CD86|CD274|CD275-1|Galectin-9|CD270|CD112|CD47|CD70|CD48|CD40|CD154|CD3-1|CD4-1|CD8|CD56-1|CD45-1|CD19|CD34|CD138-1|CD90|CD117|CD105|CD201|CD4-2|CD8a|CD14|CD56-2|CD279|Rat-IgG2b|CD335|CD294|CD31|CD133-1|CD140a|CD140b|CD340|CD146|CD324|TCR-1|CD195|CD196|CD185|CD103|CD152|CD27|CD107a|CD134|HLA-DR|CD1c|CD64|CD1d|CD66b|CD35|CD272|CD275-2|CD96|CD39|CX3CR1|CD24|CD21|CD66a/c/e|Siglec-8|CD206|CD169|CD370|XCR1|Notch-1|CD268|CD42b|CD62P|CD119|TCR-2|Notch-2|CD68|Rat-IgG1-1|CD192|CD102|CD267|CD62E|CD135|CD41|CD137|CD163|CD83|CD357|CD59|CD309|CD124|CD13|CD2|CD29|CD49b|CD81|CD98|CD55|CD18|CD28|CD127|CD45-2|CD15|CD22|CD71|CD26-1|CD193|CD115|CD144|CD301|CD1a|CD63|CD304|CD36|CD85g|CD243|CD72|MERTK|CD325|CD93|CD200|C5L2|CD235a|CD49a|CD49d|CD79a|TCR-V-7.2|TCR-V-2|TCR-V-9|TCR-V-24-J-18|CD354|CD305|LOX-1|CD203c|CD133-2|CD209|CD110|CD253|CD186|CD226|CD205|CD109|CD11a/CD18|CD164|CD307c/FcRL3|CD307d|CD307e|CD319|CD138-2|CD16|CD161|CCR10|CD271|GP130|CD199|CD45RB|CD46|VEGFR-3|CLEC2|CD26-2
P2,41,marker_memory,6,,legacy_v33_deterministic_feature_mask,CD45RA|CD45RO|CD27|CD95|CD28|CD127
P2,41,marker_tcell,15,,legacy_v33_deterministic_feature_mask,CD3-1|CD4-1|CD8|CD3-2|CD45RA|CD4-2|CD8a|CD45RO|TCR-1|CD27|TCR-2|TCR-V-7.2|TCR-V-2|TCR-V-9|TCR-V-24-J-18
P2,41,rna_only,224,,legacy_v33_deterministic_feature_mask,CD80|CD86|CD274|CD273|CD275-1|CD11b-1|Galectin-9|CD270|CD252|CD155|CD112|CD47|CD70|CD30|CD48|CD40|CD154|CD52|CD3-1|CD4-1|CD8|CD56-1|CD45-1|CD3-2|CD19|CD11c|CD34|CD138-1|CD269|CD90|CD117|CD45RA|CD123|CD105|CD201|CD194|CD4-2|CD44-1|CD8a|CD14|CD56-2|CD25|CD45RO|CD279|TIGIT|Rat-IgG2b|CD20|CD335|CD294|CD31|CD44-2|CD133-1|Podoplanin|CD140a|CD140b|Cadherin|CD340|CD146|CD324|IgM|TCR-1|CD195|CD196|CD185|CD103|CD69|CD152|CD223|CD27|CD107a|CD95|CD134|HLA-DR|CD1c|CD11b-2|CD64|CD141|CD1d|CD314|CD66b|CD35|CD57|CD366|CD272|CD278|CD275-2|CD96|CD39|CD178|CX3CR1|CD24|CD21|CD79b|CD66a/c/e|CD244|CD235ab|Siglec-8|CD206|CD169|CD370|XCR1|Notch-1|Integrin-7|CD268|CD42b|CD54|CD62P|CD119|TCR-2|Notch-2|CD68|Rat-IgG1-1|Rat-IgG1-2|Rag-IgG2c|CD192|CD102|CD106|CD122|CD267|CD62E|CD135|CD41|CD137|CD43|CD163|CD83|CD357|CD59|CD309|CD124|CD13|CD184|CD2|CD29|CD303|CD49b|CD61|CD81|CD98|CD177|CD55|IgD|CD18|CD28|TSLPR|CD38-1|CD127|CD45-2|CD15|CD22|CD71|B7-H4|CD26-1|CD193|CD115|CD204|CD144|CD301|CD1a|CD207|CD63|CD284|CD304|CD36|CD172a|CD85g|CD38-2|CD243|CD72|MERTK|Folate|TIM-4|CD171|CD325|CD93|CD200|CD338|C5L2|CD235a|CD49a|CD49d|CD73|CD79a|CD9|TCR-V-7.2|TCR-V-2|TCR-V-9|TCR-V-24-J-18|CD354|CD202b|CD305|LOX-1|CD203c|CD133-2|CD209|CD110|CD337|CD253|CD186|CD226|CD205|CD109|CD11a/CD18|CD126|CD164|CD142|CD307c/FcRL3|CD307d|CD307e|CD319|CD138-2|CD99|CLEC12A|CD16|CD161|CCR10|CD271|GP130|CD199|CD45RB|CD46|VEGFR-3|CLEC2|CD26-2
P2,41,random_size_matched_6,6,822411,random_feature_name_only_size_matched_to_targeted_mask,CD56-2|CD44-2|CD39|CD268|CD207|CD199
P2,41,random_size_matched_15,15,822412,random_feature_name_only_size_matched_to_targeted_mask,CD86|CD48|CD11c|CD117|CD1c|CD64|CD184|CD144|CD72|CD49a|TCR-V-24-J-18|CD203c|CD11a/CD18|CD16|CD161
P2,42,full,0,,legacy_v33_deterministic_feature_mask,
P2,42,random_10,22,332421,legacy_v33_deterministic_feature_mask,CD40|CD154|CD56-1|CD134|CD272|XCR1|Notch-1|CD192|CD49b|CD61|CD81|CD193|CD144|CD63|Folate|C5L2|CD49a|TCR-V-2|CD109|CD126|CCR10|VEGFR-3
